No.,text,label
1,老师全程用英语交流，有益于锻炼学生口语，用平板，比较方便,1
2,教师在时间把握上很好，教学目标明确，能通过重点句子和词语的解读帮助孩子理解课文。,1
3,让学生在学习文本时，体验人们之间的互相关怀和爱护，对学生的情感熏陶。,1
4,引导学生积极发言，能指导学生小组合作学习,1
5,课堂紧凑，老师素质高，学生常规好，课堂氛围非常浓厚。,1
6,211环节到位，把课文中需要学生理解的重难点讲解清晰到位。,1
7,教师指导细致，教学思路清晰,1
8,课堂环节衔接紧密，过渡自然,1
9,概念图使用能激发写作思维，更好构思习作,1
10,评价环节能让学生感到习作的成就感,1
11,教师启发教育很好，过渡自然。,1
12,课堂环节完整，情景创设较为合理。课堂目标达成良好。,1
13,作为一名刚加入课题的新老师，刘老师本堂课基本落实了211的课堂模式，教学思路清晰,1
14,各环节重点突出，目标明确。,1
15,师注重朗读训练让孩子们在读中感悟文本，理解内容。,1
16,比较注重孩子的语言文字训练,1
17,重视孩子多种形式的读,1
18,理解课文，品读课文的方式多样化。,1
19,教师语言温柔,1
20,教学环节流畅,1
21,课堂气氛活泼，教学环节清晰流畅。,1
22,整体条理还是很清晰,1
23,各个部分时间把握也很恰当,1
24,语言也很优美，有亲和力,1
25,利用表格清晰准确的找到了精略结合点，充分让学生感受乡村风景的迷人景色，并充分锻炼学生写作能力。,1
26,高效的利用了课堂四十分钟，同时充分的发挥了学生的自主性。,1
27,多媒体和教学有效衔接,1
28,本节课基本体现教师主导学生主体的理念,1
29,采用了自主学习和合作学习（角色扮演）活动，培养学生的自主、探究、合作学习能力,1
30,拓展阅读材料符合课时目标，具有层次性,1
31,写话题目与支架设计较好，采用清晰的句子支架与图片情境支架促进学生写话。,1
32,本堂课为第二个课时，老师通过让学生采取多样的朗读方式，体会三个母亲的不同心态，并让学生找出文章中的关键词语将文章串联起来，从而深刻体会老爷爷所说的话，明明有三个儿子，而老爷爷说只有一个。,1
33,在最后的写话环节，教师采用学生观看同伴事先拍摄好的短视频，利用支架进行写话练习。,1
34,教师亲和力强 学生学习积极性高,1
35,会认的字学的很扎实,1
36,老师的教学基本功非常扎实，整堂课思路清晰，各环节的设计以及时间的分配符合跨越式小学语文精加略课型的特点。,1
37,课堂节奏协调有序，环节清晰。尤其课前古诗诵读，章显文化底蕴。,1
38,突出教师主导，学生主体，充分体现了小组合作学习 ,1
39,表格支架设计的很有层次性，符合学生的认知,1
40,环节完整,1
41,目标清晰具体,1
42,教师设计的问题较为清晰,1
43,环节明确，主题突出。,1
44,结构紧凑，环环紧扣，过渡自然,1
45,字词教学，课文学习扎实高效,1
46,围绕读写训练，设计教学环节，操作性强,1
47,能够利用微课进行翻转课堂的教学，钟老师刚接触翻转课堂，能够愿意去探索新的教学方式，这是应该值得肯定的。,1
48,能抓住重点句体会作者思想感情。,1
49,师注重情感的深化和学生情绪的深入，本节课很有语文味。,1
50,王老师利用211模式给我们上了与《时间赛跑》，文章重难点得当。教师特别注重对孩子们朗读的指导，在上课中，鼓励孩子多种形式的朗读，让孩子在朗读中理解时间的宝贵。,1
51,通过写作，让孩子明白平时可以如何珍惜时间。,1
52,教学活动丰富 ，真正做到了学生在情境中学习,1
53,氛围热烈,1
54,教师循循善诱。善于引导，善于启发。能抓住关键词，关键句来引导学生理解。学生参与面广，参与热情高。 ,1
55,环节清晰完整,1
56,本节课的教学最突出的特点是运用多媒体网络进行教学，利用丰富多彩的网络资源，形象、生动地启迪学生思维，为学生理解课文内容，鉴赏语言文字，提供条件。,1
57,让学生在更短的时间里检索到更多、更有价值的学习资源，提高灵活运用语言文字的能力。,1
58,完美地利用了几何画板、论坛等工具,1
59,交互性极强,1
60,知识迁移，利用学生熟悉的形象导入课堂知识；,1
61,通过回顾，带领学生温故基础目标，提供丰富的拓展阅读材料，为写作作铺垫,1
62,我们的生活方式。我们要学会珍惜现在身边，不要把手弄伤自己方便地通过自己方便多么美好的话，我们的生活品质保证我的生活状态很好的话就是说我要好好珍惜现在的我的人1,1
63,基本符合小学语文跨越式精加略课型的特点，第三课时的主要任务是学生的知识输出，即根据前两节课所学的写作手法，重点字词句等，参照课文相关主题进行写作练习。,1
64,课堂教学基本体现出了跨越式小学语文教学的特点，相应的教学环节都有体现，教师能从整体上把握本堂课的教学重难点。,1
65,教师教学基本功扎实，课堂教学初步体现了跨越式的特点，211模式的环节和时间掌握比较熟练。,1
66,游戏能激发学生的兴趣，概念图的作用符合学生认知特点，能加深知识的巩固,1
67,拓展阅读部分开拓了学生的知识，体现了核心素养,1
68,多媒体使用巧妙有效，教学目标明确，步骤紧凑，课堂气氛活跃，教学效果较好,1
69,图片和视频相结合；整个课堂气氛比较活跃；老师的发音很地道,1
70,能让学生有多发言的机会；小组合作机会较多,1
